cliente_id,cluster,segmento_kmeans
359,3,esquecido
360,3,esquecido
361,0,economico
362,2,fiel
363,2,fiel
364,2,fiel
365,3,esquecido
366,1,abandono
367,0,economico
368,3,esquecido
369,1,abandono
370,0,economico
371,0,economico
372,2,fiel
373,1,abandono
374,1,abandono
375,2,fiel
376,2,fiel
377,0,economico
378,3,esquecido
379,1,abandono
380,3,esquecido
381,1,abandono
382,0,economico
383,0,economico
384,1,abandono
385,1,abandono
386,0,economico
387,3,esquecido
388,3,esquecido
389,2,fiel
390,0,economico
391,3,esquecido
392,2,fiel
393,3,esquecido
394,3,esquecido
395,2,fiel
396,1,abandono
397,0,economico
398,2,fiel
399,1,abandono
400,1,abandono
401,0,economico
402,0,economico
403,0,economico
404,2,fiel
405,0,economico
406,0,economico
407,2,fiel
408,0,economico
409,2,fiel
410,0,economico
411,3,esquecido
412,3,esquecido
413,2,fiel
414,0,economico
415,2,fiel
416,2,fiel
417,2,fiel
418,0,economico
419,2,fiel
420,0,economico
421,3,esquecido
422,2,fiel
423,2,fiel
424,2,fiel
425,1,abandono
426,0,economico
427,2,fiel
428,1,abandono
429,2,fiel
430,1,abandono
431,1,abandono
432,0,economico
433,3,esquecido
434,0,economico
435,2,fiel
436,2,fiel
437,2,fiel
438,1,abandono
439,1,abandono
440,3,esquecido
441,0,economico
442,2,fiel
443,3,esquecido
444,2,fiel
445,2,fiel
446,3,esquecido
447,0,economico
448,3,esquecido
449,2,fiel
450,3,esquecido
451,2,fiel
452,0,economico
453,3,esquecido
454,2,fiel
455,2,fiel
456,2,fiel
457,0,economico
458,3,esquecido
459,0,economico
460,3,esquecido
461,3,esquecido
462,2,fiel
463,0,economico
464,1,abandono
465,3,esquecido
466,3,esquecido
467,3,esquecido
468,0,economico
469,2,fiel
470,1,abandono
471,1,abandono
472,1,abandono
473,2,fiel
474,2,fiel
475,2,fiel
476,1,abandono
477,3,esquecido
478,3,esquecido
479,3,esquecido
480,1,abandono
481,1,abandono
482,2,fiel
483,3,esquecido
484,1,abandono
485,2,fiel
486,3,esquecido
487,1,abandono
488,2,fiel
489,3,esquecido
490,3,esquecido
491,3,esquecido
492,1,abandono
493,3,esquecido
494,1,abandono
495,0,economico
496,3,esquecido
497,1,abandono
498,1,abandono
499,3,esquecido
500,1,abandono
501,3,esquecido
502,0,economico
503,0,economico
504,1,abandono
505,1,abandono
506,0,economico
507,1,abandono
508,0,economico
509,1,abandono
510,2,fiel
511,2,fiel
512,0,economico
513,2,fiel
514,2,fiel
515,3,esquecido
516,2,fiel
517,1,abandono
518,0,economico
519,2,fiel
520,0,economico
521,0,economico
522,0,economico
523,2,fiel
524,3,esquecido
525,2,fiel
526,1,abandono
527,0,economico
528,0,economico
529,0,economico
530,1,abandono
531,3,esquecido
532,3,esquecido
533,3,esquecido
534,1,abandono
535,2,fiel
536,2,fiel
537,3,esquecido
538,2,fiel
539,2,fiel
540,0,economico
541,0,economico
542,3,esquecido
543,0,economico
544,0,economico
545,2,fiel
546,1,abandono
547,3,esquecido
548,2,fiel
549,0,economico
550,3,esquecido
551,1,abandono
552,2,fiel
553,2,fiel
554,0,economico
555,2,fiel
556,2,fiel
557,2,fiel
558,1,abandono
559,0,economico
560,1,abandono
561,2,fiel
562,2,fiel
563,0,economico
564,3,esquecido
565,3,esquecido
566,3,esquecido
567,0,economico
568,2,fiel
569,1,abandono
570,1,abandono
571,1,abandono
572,0,economico
573,1,abandono
574,1,abandono
575,0,economico
576,1,abandono
577,0,economico
578,1,abandono
579,0,economico
580,0,economico
581,1,abandono
582,1,abandono
583,2,fiel
584,1,abandono
585,0,economico
586,3,esquecido
587,2,fiel
588,1,abandono
589,2,fiel
590,2,fiel
591,0,economico
592,1,abandono
593,0,economico
594,3,esquecido
595,2,fiel
596,2,fiel
597,3,esquecido
598,3,esquecido
599,0,economico
600,3,esquecido
601,1,abandono
602,0,economico
603,0,economico
604,3,esquecido
605,0,economico
606,0,economico
607,1,abandono
608,2,fiel
609,1,abandono
610,0,economico
611,3,esquecido
612,3,esquecido
613,0,economico
614,0,economico
615,2,fiel
616,3,esquecido
617,0,economico
618,1,abandono
619,2,fiel
620,2,fiel
621,0,economico
622,1,abandono
623,0,economico
624,3,esquecido
625,0,economico
626,1,abandono
627,0,economico
628,2,fiel
629,3,esquecido
630,0,economico
631,0,economico
632,0,economico
633,2,fiel
634,1,abandono
635,2,fiel
636,2,fiel
637,3,esquecido
638,3,esquecido
639,0,economico
640,0,economico
641,3,esquecido
642,0,economico
643,2,fiel
644,2,fiel
645,3,esquecido
646,0,economico
647,2,fiel
648,1,abandono
649,3,esquecido
650,2,fiel
651,1,abandono
652,3,esquecido
653,3,esquecido
654,2,fiel
655,0,economico
656,1,abandono
657,0,economico
658,2,fiel
659,3,esquecido
660,1,abandono
661,2,fiel
662,0,economico
663,2,fiel
664,2,fiel
665,0,economico
666,3,esquecido
667,0,economico
668,0,economico
669,2,fiel
670,1,abandono
671,2,fiel
672,3,esquecido
673,0,economico
674,3,esquecido
675,3,esquecido
676,1,abandono
677,0,economico
678,1,abandono
679,2,fiel
680,1,abandono
681,2,fiel
682,2,fiel
683,2,fiel
684,1,abandono
685,1,abandono
686,1,abandono
687,1,abandono
688,0,economico
689,0,economico
690,3,esquecido
691,2,fiel
692,0,economico
693,2,fiel
694,1,abandono
695,0,economico
696,1,abandono
697,0,economico
698,3,esquecido
699,3,esquecido
700,2,fiel
701,2,fiel
702,1,abandono
703,2,fiel
704,0,economico
705,2,fiel
706,3,esquecido
707,0,economico
708,3,esquecido
709,1,abandono
710,0,economico
711,0,economico
712,3,esquecido
713,0,economico
714,0,economico
715,0,economico
716,2,fiel
717,3,esquecido
718,2,fiel
719,3,esquecido
720,0,economico
721,1,abandono
722,1,abandono
723,2,fiel
724,3,esquecido
725,2,fiel
726,2,fiel
727,2,fiel
728,2,fiel
729,1,abandono
730,3,esquecido
731,1,abandono
732,2,fiel
733,2,fiel
734,1,abandono
735,2,fiel
736,3,esquecido
737,2,fiel
738,1,abandono
739,3,esquecido
740,1,abandono
741,2,fiel
742,2,fiel
743,0,economico
744,2,fiel
745,1,abandono
746,1,abandono
747,1,abandono
748,3,esquecido
749,0,economico
750,0,economico
751,2,fiel
752,3,esquecido
753,2,fiel
754,3,esquecido
755,3,esquecido
756,2,fiel
757,1,abandono
758,0,economico
759,2,fiel
760,1,abandono
761,1,abandono
762,2,fiel
763,2,fiel
764,2,fiel
765,0,economico
766,2,fiel
767,2,fiel
768,2,fiel
769,2,fiel
770,3,esquecido
771,2,fiel
772,3,esquecido
773,3,esquecido
774,0,economico
775,2,fiel
776,0,economico
777,3,esquecido
778,2,fiel
779,0,economico
780,0,economico
781,2,fiel
782,0,economico
783,1,abandono
784,3,esquecido
785,0,economico
786,3,esquecido
787,0,economico
788,1,abandono
789,0,economico
790,3,esquecido
791,2,fiel
792,1,abandono
793,1,abandono
794,2,fiel
795,2,fiel
796,1,abandono
797,2,fiel
798,2,fiel
799,3,esquecido
800,3,esquecido
801,3,esquecido
802,1,abandono
803,1,abandono
804,3,esquecido
805,2,fiel
806,2,fiel
807,3,esquecido
808,2,fiel
809,1,abandono
810,0,economico
811,2,fiel
812,2,fiel
813,0,economico
814,3,esquecido
815,2,fiel
816,0,economico
817,0,economico
818,1,abandono
819,3,esquecido
820,2,fiel
821,2,fiel
822,3,esquecido
823,2,fiel
824,3,esquecido
825,0,economico
826,2,fiel
827,3,esquecido
828,2,fiel
829,0,economico
830,2,fiel
831,3,esquecido
832,3,esquecido
833,2,fiel
834,3,esquecido
835,3,esquecido
836,3,esquecido
837,0,economico
838,1,abandono
839,1,abandono
840,1,abandono
841,2,fiel
842,0,economico
843,3,esquecido
844,3,esquecido
845,2,fiel
846,0,economico
847,3,esquecido
848,3,esquecido
849,2,fiel
850,0,economico
851,2,fiel
852,2,fiel
853,0,economico
854,0,economico
855,2,fiel
856,1,abandono
857,3,esquecido
858,0,economico
859,1,abandono
860,1,abandono
861,0,economico
862,3,esquecido
863,0,economico
864,1,abandono
865,2,fiel
866,0,economico
867,0,economico
868,0,economico
869,2,fiel
870,2,fiel
871,0,economico
872,2,fiel
873,0,economico
874,3,esquecido
875,1,abandono
876,0,economico
877,1,abandono
878,1,abandono
879,1,abandono
880,3,esquecido
881,1,abandono
882,3,esquecido
883,0,economico
884,1,abandono
885,2,fiel
886,1,abandono
887,1,abandono
888,2,fiel
889,2,fiel
890,3,esquecido
891,1,abandono
892,0,economico
893,2,fiel
894,2,fiel
895,0,economico
896,0,economico
897,2,fiel
898,2,fiel
899,2,fiel
900,1,abandono
901,0,economico
902,2,fiel
903,2,fiel
904,1,abandono
905,0,economico
906,3,esquecido
907,1,abandono
908,2,fiel
909,2,fiel
910,2,fiel
911,0,economico
912,0,economico
913,0,economico
914,0,economico
915,0,economico
916,0,economico
917,2,fiel
918,2,fiel
919,1,abandono
920,3,esquecido
921,2,fiel
922,0,economico
923,3,esquecido
924,3,esquecido
925,2,fiel
926,2,fiel
927,2,fiel
928,0,economico
929,3,esquecido
930,3,esquecido
931,2,fiel
932,1,abandono
933,3,esquecido
934,0,economico
935,0,economico
936,2,fiel
937,0,economico
938,2,fiel
939,0,economico
940,2,fiel
941,2,fiel
942,0,economico
943,2,fiel
944,3,esquecido
945,1,abandono
946,2,fiel
947,3,esquecido
948,0,economico
949,0,economico
950,1,abandono
951,1,abandono
952,2,fiel
953,2,fiel
954,2,fiel
955,0,economico
956,0,economico
957,0,economico
958,1,abandono
959,1,abandono
960,3,esquecido
961,3,esquecido
962,1,abandono
963,2,fiel
964,2,fiel
965,0,economico
966,3,esquecido
967,0,economico
968,2,fiel
969,3,esquecido
970,2,fiel
971,2,fiel
972,2,fiel
973,2,fiel
974,0,economico
975,1,abandono
976,3,esquecido
977,1,abandono
978,1,abandono
979,1,abandono
980,2,fiel
981,0,economico
982,0,economico
983,0,economico
984,1,abandono
985,2,fiel
986,0,economico
987,1,abandono
988,2,fiel
989,1,abandono
990,0,economico
991,3,esquecido
992,0,economico
993,0,economico
994,2,fiel
995,0,economico
996,1,abandono
997,3,esquecido
998,2,fiel
999,0,economico
1000,2,fiel
1001,2,fiel
1002,0,economico
1003,2,fiel
1004,2,fiel
1005,3,esquecido
1006,3,esquecido
1007,0,economico
1008,3,esquecido
1009,3,esquecido
1010,1,abandono
1011,3,esquecido
1012,3,esquecido
1013,1,abandono
1014,0,economico
1015,1,abandono
1016,2,fiel
1017,3,esquecido
1018,0,economico
1019,2,fiel
1020,1,abandono
1021,0,economico
1022,0,economico
1023,0,economico
1024,0,economico
1025,3,esquecido
1026,1,abandono
1027,0,economico
1028,3,esquecido
1029,3,esquecido
1030,1,abandono
1031,0,economico
1032,3,esquecido
1033,1,abandono
1034,0,economico
1035,1,abandono
1036,3,esquecido
1037,1,abandono
1038,3,esquecido
1039,3,esquecido
1040,2,fiel
1041,2,fiel
1042,3,esquecido
1043,3,esquecido
1044,3,esquecido
1045,2,fiel
1046,1,abandono
1047,2,fiel
1048,0,economico
1049,0,economico
1050,2,fiel
1051,3,esquecido
1052,2,fiel
1053,2,fiel
1054,2,fiel
1055,2,fiel
1056,3,esquecido
1057,0,economico
1058,2,fiel
1059,3,esquecido
1060,3,esquecido
1061,0,economico
1062,1,abandono
1063,2,fiel
1064,3,esquecido
1065,3,esquecido
1066,0,economico
1067,1,abandono
1068,3,esquecido
1069,2,fiel
1070,1,abandono
1071,0,economico
1072,3,esquecido
1073,1,abandono
1074,0,economico
1075,0,economico
1076,1,abandono
1077,3,esquecido
1078,1,abandono
1079,3,esquecido
1080,3,esquecido
1081,2,fiel
1082,1,abandono
1083,0,economico
1084,0,economico
1085,0,economico
1086,0,economico
1087,0,economico
1088,0,economico
1089,1,abandono
1090,1,abandono
1091,2,fiel
1092,1,abandono
1093,2,fiel
1094,2,fiel
1095,3,esquecido
1096,3,esquecido
1097,2,fiel
1098,0,economico
1099,0,economico
1100,2,fiel
1101,2,fiel
1102,0,economico
1103,0,economico
1104,0,economico
1105,2,fiel
1106,0,economico
1107,2,fiel
1108,1,abandono
1109,0,economico
1110,2,fiel
1111,2,fiel
1112,3,esquecido
1113,3,esquecido
1114,0,economico
1115,0,economico
1116,2,fiel
1117,2,fiel
1118,0,economico
1119,2,fiel
1120,0,economico
1121,3,esquecido
1122,2,fiel
1123,0,economico
1124,2,fiel
1125,1,abandono
1126,3,esquecido
1127,1,abandono
1128,3,esquecido
1129,3,esquecido
1130,0,economico
1131,0,economico
1132,1,abandono
1133,2,fiel
1134,3,esquecido
1135,0,economico
1136,3,esquecido
1137,1,abandono
1138,1,abandono
1139,2,fiel
1140,3,esquecido
1141,3,esquecido
1142,0,economico
1143,0,economico
1144,0,economico
1145,1,abandono
1146,1,abandono
1147,0,economico
1148,0,economico
1149,1,abandono
1150,0,economico
1151,2,fiel
1152,0,economico
1153,2,fiel
1154,2,fiel
1155,1,abandono
1156,2,fiel
1157,2,fiel
1158,2,fiel
1159,1,abandono
1160,0,economico
1161,2,fiel
1162,3,esquecido
1163,0,economico
1164,2,fiel
1165,2,fiel
1166,0,economico
1167,0,economico
1168,1,abandono
1169,0,economico
1170,2,fiel
1171,1,abandono
1172,3,esquecido
1173,2,fiel
1174,0,economico
1175,1,abandono
1176,0,economico
1177,1,abandono
1178,1,abandono
1179,2,fiel
1180,2,fiel
1181,0,economico
1182,2,fiel
1183,2,fiel
1184,2,fiel
1185,2,fiel
1186,0,economico
1187,1,abandono
1188,0,economico
1189,2,fiel
1190,1,abandono
1191,1,abandono
1192,3,esquecido
1193,0,economico
1194,0,economico
1195,0,economico
1196,2,fiel
1197,2,fiel
1198,1,abandono
1199,2,fiel
1200,3,esquecido
1201,3,esquecido
1202,3,esquecido
1203,0,economico
1204,3,esquecido
1205,2,fiel
1206,2,fiel
1207,3,esquecido
1208,1,abandono
1209,2,fiel
1210,1,abandono
1211,0,economico
1212,0,economico
1213,3,esquecido
1214,1,abandono
1215,2,fiel
1216,0,economico
1217,1,abandono
1218,3,esquecido
1219,3,esquecido
1220,2,fiel
1221,2,fiel
1222,2,fiel
1223,0,economico
1224,3,esquecido
1225,2,fiel
1226,0,economico
1227,1,abandono
1228,3,esquecido
1229,0,economico
1230,2,fiel
1231,2,fiel
1232,3,esquecido
1233,2,fiel
1234,3,esquecido
1235,0,economico
1236,2,fiel
1237,2,fiel
1238,1,abandono
1239,2,fiel
1240,2,fiel
1241,0,economico
1242,1,abandono
1243,1,abandono
1244,2,fiel
1245,1,abandono
1246,2,fiel
1247,3,esquecido
1248,2,fiel
1249,0,economico
1250,0,economico
1251,2,fiel
1252,2,fiel
1253,2,fiel
1254,3,esquecido
1255,2,fiel
1256,0,economico
1257,0,economico
1258,0,economico
1259,3,esquecido
1260,1,abandono
1261,2,fiel
1262,3,esquecido
1263,3,esquecido
1264,0,economico
1265,3,esquecido
1266,0,economico
1267,2,fiel
1268,0,economico
1269,1,abandono
1270,3,esquecido
1271,1,abandono
1272,3,esquecido
1273,0,economico
1274,3,esquecido
1275,2,fiel
1276,1,abandono
1277,2,fiel
1278,2,fiel
1279,0,economico
1280,3,esquecido
1281,1,abandono
1282,1,abandono
1283,1,abandono
1284,3,esquecido
1285,1,abandono
1286,0,economico
1287,3,esquecido
1288,1,abandono
1289,1,abandono
1290,3,esquecido
1291,0,economico
1292,3,esquecido
1293,3,esquecido
1294,3,esquecido
1295,3,esquecido
1296,1,abandono
1297,2,fiel
1298,2,fiel
1299,3,esquecido
1300,1,abandono
1301,2,fiel
1302,3,esquecido
1303,0,economico
1304,2,fiel
1305,1,abandono
1306,0,economico
1307,3,esquecido
1308,3,esquecido
1309,2,fiel
1310,0,economico
1311,1,abandono
1312,2,fiel
1313,1,abandono
1314,2,fiel
1315,2,fiel
1316,3,esquecido
1317,3,esquecido
1318,2,fiel
1319,0,economico
1320,0,economico
1321,1,abandono
1322,1,abandono
1323,2,fiel
1324,0,economico
1325,1,abandono
1326,0,economico
1327,1,abandono
1328,3,esquecido
1329,2,fiel
1330,2,fiel
1331,0,economico
1332,1,abandono
1333,0,economico
1334,0,economico
1335,0,economico
1336,0,economico
1337,2,fiel
1338,3,esquecido
1339,0,economico
1340,1,abandono
1341,2,fiel
1342,0,economico
1343,3,esquecido
1344,3,esquecido
1345,0,economico
1346,3,esquecido
1347,1,abandono
1348,3,esquecido
1349,0,economico
1350,2,fiel
1351,0,economico
1352,0,economico
1353,2,fiel
1354,1,abandono
1355,0,economico
1356,2,fiel
1357,3,esquecido
1358,3,esquecido
1359,3,esquecido
1360,2,fiel
1361,3,esquecido
1362,3,esquecido
1363,3,esquecido
1364,2,fiel
1365,1,abandono
1366,1,abandono
1367,2,fiel
1368,2,fiel
1369,2,fiel
1370,1,abandono
1371,2,fiel
1372,0,economico
1373,1,abandono
1374,0,economico
1375,0,economico
1376,2,fiel
1377,3,esquecido
1378,0,economico
1379,3,esquecido
1380,1,abandono
1381,1,abandono
1382,2,fiel
1383,1,abandono
1384,0,economico
1385,0,economico
1386,2,fiel
1387,3,esquecido
1388,0,economico
1389,0,economico
1390,2,fiel
1391,0,economico
1392,0,economico
1393,2,fiel
1394,2,fiel
1395,0,economico
1396,2,fiel
1397,1,abandono
1398,0,economico
1399,1,abandono
1400,1,abandono
1401,3,esquecido
1402,2,fiel
1403,0,economico
1404,1,abandono
1405,2,fiel
1406,2,fiel
1407,0,economico
1408,2,fiel
1409,0,economico
1410,3,esquecido
1411,0,economico
1412,0,economico
1413,0,economico
1414,0,economico
1415,2,fiel
1416,0,economico
1417,3,esquecido
1418,3,esquecido
1419,0,economico
1420,0,economico
1421,3,esquecido
1422,3,esquecido
1423,1,abandono
1424,3,esquecido
1425,1,abandono
1426,1,abandono
1427,2,fiel
1428,2,fiel
1429,0,economico
1430,1,abandono
1431,0,economico
1432,3,esquecido
1433,2,fiel
1434,2,fiel
1435,2,fiel
1436,0,economico
1437,2,fiel
1438,1,abandono
1439,0,economico
1440,0,economico
1441,2,fiel
1442,2,fiel
1443,2,fiel
1444,2,fiel
1445,2,fiel
1446,3,esquecido
1447,1,abandono
1448,1,abandono
1449,3,esquecido
1450,2,fiel
1451,0,economico
1452,3,esquecido
1453,0,economico
1454,1,abandono
1455,3,esquecido
1456,2,fiel
1457,2,fiel
1458,1,abandono
1459,0,economico
1460,1,abandono
1461,0,economico
1462,3,esquecido
1463,2,fiel
1464,1,abandono
1465,3,esquecido
1466,3,esquecido
1467,1,abandono
1468,2,fiel
1469,3,esquecido
1470,2,fiel
1471,0,economico
1472,2,fiel
1473,2,fiel
1474,1,abandono
1475,1,abandono
1476,2,fiel
1477,1,abandono
1478,0,economico
1479,1,abandono
1480,0,economico
1481,3,esquecido
1482,2,fiel
1483,3,esquecido
1484,2,fiel
1485,3,esquecido
1486,2,fiel
1487,0,economico
1488,1,abandono
1489,0,economico
1490,1,abandono
1491,2,fiel
1492,0,economico
1493,1,abandono
1494,0,economico
1495,3,esquecido
1496,2,fiel
1497,0,economico
1498,3,esquecido
1499,1,abandono
1500,3,esquecido
1501,3,esquecido
1502,0,economico
1503,1,abandono
1504,3,esquecido
1505,1,abandono
1506,1,abandono
1507,3,esquecido
1508,3,esquecido
1509,2,fiel
1510,0,economico
1511,2,fiel
1512,2,fiel
1513,3,esquecido
1514,0,economico
1515,0,economico
1516,2,fiel
1517,2,fiel
1518,0,economico
1519,2,fiel
1520,2,fiel
1521,2,fiel
1522,1,abandono
1523,0,economico
1524,0,economico
1525,3,esquecido
1526,2,fiel
1527,1,abandono
1528,1,abandono
1529,2,fiel
1530,2,fiel
1531,1,abandono
1532,2,fiel
1533,3,esquecido
1534,3,esquecido
1535,2,fiel
1536,1,abandono
1537,0,economico
1538,0,economico
1539,0,economico
1540,1,abandono
1541,0,economico
1542,2,fiel
1543,1,abandono
1544,2,fiel
1545,1,abandono
1546,1,abandono
1547,2,fiel
1548,0,economico
1549,1,abandono
1550,2,fiel
1551,2,fiel
1552,0,economico
1553,1,abandono
1554,1,abandono
1555,2,fiel
1556,0,economico
1557,0,economico
1558,1,abandono
1559,3,esquecido
1560,0,economico
1561,1,abandono
1562,3,esquecido
1563,0,economico
1564,0,economico
1565,0,economico
1566,1,abandono
1567,2,fiel
1568,2,fiel
1569,3,esquecido
1570,1,abandono
1571,3,esquecido
1572,3,esquecido
1573,3,esquecido
1574,0,economico
1575,2,fiel
1576,2,fiel
1577,0,economico
1578,0,economico
1579,0,economico
1580,0,economico
1581,0,economico
1582,3,esquecido
1583,1,abandono
1584,2,fiel
1585,3,esquecido
1586,0,economico
1587,3,esquecido
1588,1,abandono
1589,2,fiel
1590,2,fiel
1591,2,fiel
1592,2,fiel
1593,0,economico
1594,3,esquecido
1595,0,economico
1596,3,esquecido
1597,2,fiel
1598,2,fiel
1599,0,economico
1600,2,fiel
1601,0,economico
1602,2,fiel
1603,3,esquecido
1604,0,economico
1605,2,fiel
1606,2,fiel
1607,0,economico
1608,2,fiel
1609,1,abandono
1610,0,economico
1611,2,fiel
1612,0,economico
1613,0,economico
1614,1,abandono
1615,0,economico
1616,2,fiel
1617,2,fiel
1618,1,abandono
1619,0,economico
1620,2,fiel
1621,2,fiel
1622,3,esquecido
1623,0,economico
1624,2,fiel
1625,1,abandono
1626,0,economico
1627,1,abandono
1628,2,fiel
1629,2,fiel
1630,1,abandono
1631,1,abandono
1632,0,economico
1633,3,esquecido
1634,3,esquecido
1635,0,economico
1636,1,abandono
1637,1,abandono
1638,0,economico
1639,2,fiel
1640,3,esquecido
1641,0,economico
1642,2,fiel
1643,1,abandono
1644,2,fiel
1645,2,fiel
1646,1,abandono
1647,2,fiel
1648,0,economico
1649,0,economico
1650,0,economico
1651,2,fiel
1652,2,fiel
1653,2,fiel
1654,2,fiel
1655,0,economico
1656,1,abandono
1657,2,fiel
1658,0,economico
1659,0,economico
1660,2,fiel
1661,2,fiel
1662,3,esquecido
1663,0,economico
1664,2,fiel
1665,0,economico
1666,0,economico
1667,0,economico
1668,2,fiel
1669,2,fiel
1670,0,economico
1671,1,abandono
1672,3,esquecido
1673,0,economico
